artist,album,track,uri,genero_principal,generos_secundarios
Gabo Ferro,Todo lo sólido se desvanece en el aire,La cabeza de la novia cayó sin su velo,spotify:track:7dUDnTPdtv6fbt40zAbnDQ,Canción de Autor,"Rock de Cámara, Experimental Folk"
Daft Punk,Random Access Memories,Fragments of Time (feat. Todd Edwards),spotify:track:0IedgQjjJ8Ad4B3UDQ5Lyn,French House,"Electronic, Synth-Pop, Nu-Disco"
Las Ligas Menores,Las Ligas Menores,Crecer,spotify:track:3H5cIQJeDPRSOmGJDGPTsj,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk"
Gauchito Club,El camino de la libertad,Charlatán,spotify:track:7K8x1lyhqVvgRL7WbkfFqi,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock"
Dillom,Por cesárea,Reiki y yoga,spotify:track:7ssk8SecoRnawQViHmUBlb,Urbano Latino,"Alternative Hip-Hop, Industrial Rap, Post-Punk"
Miranda!,Magistral,Ritmo y Decepción,spotify:track:6y6tYtlYtLjQxMGok7sLhq,Electro-Pop,"Synth-Pop, Dance-Pop"
Los Fundamentalistas del Aire Acondicionado,Vista Brava,Flight 956 - En Vivo en Baradero Diciembre 2024,spotify:track:3KTqN6qawgziPT3e303bjq,Indie / Unmapped,Alternative / Various
Los Besos,Matemática sentimental,Mi postura,spotify:track:0XgaZcaYG3ko4FLOA6bg2Z,Indie Pop,"Canción de Autor, Art Pop"
"Tyler, The Creator",Flower Boy,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,Indie / Unmapped,Alternative / Various
George Harrison,George Harrison,Blow Away,spotify:track:2qUnskePLza0G1bD4LDrxK,Indie / Unmapped,Alternative / Various
Bob Marley & The Wailers,Catch A Fire,Concrete Jungle,spotify:track:5M77yXWuKPqaUzdxn4cVnV,Reggae,Roots Reggae
Moreno Veloso,Coisa Boa,Não Acorde o Neném,spotify:track:0Jf61iToLFXJJJHFfqB5Eo,Indie / Unmapped,Alternative / Various
Sui Generis,Pequenas Anécdotas Sobre Las Instituciones,Botas Locas,spotify:track:4Bz99HLFhEqyzVxCHKGGpA,Rock Argentino,"Folk Rock, Progressive Rock"
Feli Colina,El Valle Encantado,Ancora,spotify:track:3OY3vJoHUFbBZnNJz0OKNN,Indie Folk,"Canción Latinoamericana, Avant-Garde Pop"
Serú Girán,Grandes Éxitos,Desarma Y Sangra,spotify:track:5RbxS3COc16843Dme2g3di,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
MGMT,Oracular Spectacular,The Youth,spotify:track:5nv854ey1k43KaZ0kHmE4Z,Indie / Unmapped,Alternative / Various
Viejas Locas,Viejas Locas,Lo Artesanal,spotify:track:3UL7KKa7HVOU8blvaVklXK,Rock Stone,"Blues Rock, Rock and Roll"
Adrián Berra,Impulso,Impulso,spotify:track:5uaNuyJkZ9jKvpopPQLbT3,Canción de Autor,"Indie Folk, Canción Platense"
Los Besos,Copia Viva,Copia Viva,spotify:track:2DiGgN0mPISugBT5pHjna5,Indie Pop,"Canción de Autor, Art Pop"
Charly García,Say No More,Alguien en el Mundo Piensa en Mí,spotify:track:1tJrhGnbZSNJH2bDqnG1HO,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Charly García,Say No More,Cuchillos,spotify:track:2V8AOpOIVv4R8GOvPvdn9I,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Invisible,Invisible,"Lo Que Nos Ocupa Es Esa Abuela, la Conciencia Que Regula el Mundo",spotify:track:6t9G8frU0kZX5hxmiWi7Zw,Indie / Unmapped,Alternative / Various
Sergio Mendes & Brasil '77,País Tropical,País Tropical,spotify:track:0Sd2NPOs49sIffgM3hVf0q,Indie / Unmapped,Alternative / Various
Caetano Veloso,A Arca de Noé,O Leão,spotify:track:3PpQDGWxSuWiqFkpsnIQVj,Indie / Unmapped,Alternative / Various
The Smiths,Verano Indie,Ask,spotify:track:2x7aeSPhuQArCua7EK08Vn,Indie Pop,"Jangle Pop, Post-Punk"
Ainda,TE QUIERO,NO TE ALEJES,spotify:track:4Nx5BIyMer4DjxbE5aJh1v,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana"
El Plan De La Mariposa,Estado de Enlace,Revoluciones Caseras,spotify:track:6pdrsMgdL2XFAczTDXaURr,Rock Latino,"Folk Rock, Progressive Rock"
Mercedes Sosa,Recital,Me Gustan Los Estudiantes,spotify:track:4fwZyoiTBVBOwNZJlMBse6,Indie / Unmapped,Alternative / Various
Ariel Ramírez,Ariel Ramirez: Misa Criolla / Navidad Nuestra,Misa Criolla - original version Arr. of the choral parts by J.G. Segade: Credo (Chacarera Trunca),spotify:track:64en8z81F9cljlhs6IC3b5,Indie / Unmapped,Alternative / Various
Gabo Ferro,El lapsus del jinete ciego,Puesto a germinar,spotify:track:5aE9nfu7GrDjAvT9PhlkH2,Canción de Autor,"Rock de Cámara, Experimental Folk"
Caetano Veloso,A Bossa De Caetano,Lindeza,spotify:track:3PeRgslrMi9xVTTVd2m3QA,Indie / Unmapped,Alternative / Various
Ciro y los Persas,Espejos,Espejo,spotify:track:6a6OLlMC5WYUDjzTxBHlCX,Indie / Unmapped,Alternative / Various
Javiera Mena,Esquemas Juveniles,Esquemas Juveniles,spotify:track:572uC924WbnO4ABB2r1Edc,Indie / Unmapped,Alternative / Various
Invisible,El Jardin de los Presentes,Las Golondrinas de Plaza de Mayo,spotify:track:6A54yfo7oeAER4A8gEvMc1,Indie / Unmapped,Alternative / Various
Perras on the beach,Chupalapija,Puchos,spotify:track:3wEpZrhWQsFZX9SbEGLaQt,Indie / Unmapped,Alternative / Various
The Chemical Brothers,Surrender,Let Forever Be,spotify:track:3m1JFLpKLYgMi1jf6Bu16P,Indie / Unmapped,Alternative / Various
Luis Alberto Spinetta,Peluson Of Milk,Ganges,spotify:track:6sKDsGJJKprpXfE5EL9vpP,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Duratierra,A los amores - El folklórico Vol. 1,A los amores,spotify:track:0cbdxlxNpdI7i67Iq655rO,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
Aterciopelados,Rio,Agüita,spotify:track:3H4BGO8RXpQrgGhhHgqe4q,Indie / Unmapped,Alternative / Various
Adrián Berra,Patria,Patria,spotify:track:0kKoyz1HoWI3fYQC5Tdn1f,Canción de Autor,"Indie Folk, Canción Platense"
Wilco,Hot Sun Cool Shroud,Hot Sun,spotify:track:5m1N1q1War8F4ML89g507K,Indie / Unmapped,Alternative / Various
NAFTA,Nafta,Sin un Peso,spotify:track:0VzFVd0dZs6y0cr6KbAz13,Neo-Soul,"R&B, Funk Calmo"
Babasonicos,Infame,Curtis,spotify:track:4QUZmQn9B5E5IOdaZ1VCxK,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Charly García,Como Conseguir Chicas,Fantasy,spotify:track:3wOuXyBZaIF7b8IVzQy7y8,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Soundgarden,Superunknown,Black Hole Sun,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,Grunge,"Heavy Metal, Alternative Rock"
Duratierra,A los amores - El folklórico Vol. 1,Árbol,spotify:track:5dnKg0YYFPkQBOWRO287YC,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
Intoxicados,Buen Dia,Mi Inteligencia Intrapersonal,spotify:track:0AkDpXAGc99qwgpASWsGev,Indie / Unmapped,Alternative / Various
Don Cornelio Y La Zona,Don Cornelio y La Zona,Tazas De Té Chino - Remastered,spotify:track:1qBr7Q9iOS46pWBWgIzY0B,Rock Argentino,"Post-Punk, New Wave, Darkwave"
Cartola,Cartola,Acontece,spotify:track:2qbIXEB3xrW9fkUz6Zs0rX,Indie / Unmapped,Alternative / Various
Sui Generis,Pequenas Anécdotas Sobre Las Instituciones,El Tuerto y los Ciegos,spotify:track:0bw2E2SxjzdkgFsUAjsPyY,Rock Argentino,"Folk Rock, Progressive Rock"
Gustavo Cerati,Siempre Es Hoy,Sulky,spotify:track:1L4DrYAu7SGUGytW9jYiDs,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion"
Tribalistas,Tribalistas,É Você - 2004 Digital Remaster,spotify:track:1yUm0iWD3rDf8dViBRpSkt,MPB,"Pop Brasileño, Acoustic Fusion"
Invisible,El Jardin de los Presentes,Que Ves el Cielo,spotify:track:2G6XFgIRMn0ZdIBao0ggoM,Indie / Unmapped,Alternative / Various
Karina Vismara,Sola por la Ciudad,Sola por la Ciudad,spotify:track:0qHP5mRMeNXF7HlR9R84o7,Indie / Unmapped,Alternative / Various
Pearl Jam,Yield,Given to Fly,spotify:track:3vL9lPWBuv0ZR3c5YmdhDl,Grunge,"Alternative Rock, Classic Rock Revival"
Rosario Bléfari,Estaciones,Ningún Mensaje,spotify:track:7BskjojAHlGOqPVHnseiNd,Indie / Unmapped,Alternative / Various
Peter Gabriel,Peter Gabriel 1: Car,Solsbury Hill,spotify:track:6vZZtivPrtpggT5SSXsYTy,Indie / Unmapped,Alternative / Various
Devendra Banhart,Smokey Rolls Down Thunder Canyon,Carmensita,spotify:track:5MPqe7vjJQwNemxS39SaxD,Freak Folk,"Indie Folk, Psych Folk"
Silvio Rodríguez,Al Final de Este Viaje...,"La Familia, la Propiedad Privada y el Amor",spotify:track:2hf6vQr1OgjuvdOS1kiRwZ,Nueva Trova Cubana,"Trova, Canción de Autor"
Gabo Ferro,Canciones que un hombre no debería cantar,El jardín más bello,spotify:track:5kuir3q9YADxxakq6RQtio,Canción de Autor,"Rock de Cámara, Experimental Folk"
Mazzy Star,Among My Swan,Flowers In December,spotify:track:0G6Ws8Gbdt0S7pZeuYmkmm,Indie / Unmapped,Alternative / Various
XENEZE,When i Wake,When i Wake,spotify:track:2v6a9MXjhhPOSUQ4a4bkY3,Indie Rock,"Lo-Fi, Alternative Rock"
Invisible,El Jardin de los Presentes,Perdonado (Niño Condenado),spotify:track:4K5ZDxu6eeAXUXhbkJRXXA,Indie / Unmapped,Alternative / Various
The White Stripes,White Blood Cells,We're Going to Be Friends,spotify:track:13lZDbwonGhOflQLQIfdtZ,Garage Rock,"Acoustic Blues, Indie Rock"
WOS,MORFEO,MORFEO,spotify:track:44fsHeGMWo6WgucLYeyONa,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion"
Frank Ocean,Blonde,Pink + White,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Indie / Unmapped,Alternative / Various
The Kinks,Classics (The Best of The Kinks),Waterloo Sunset - Mono Version,spotify:track:0xytfctyaudqnrQujHIz3s,Classic Rock,"Garage Rock, Folk Rock, Proto-Punk"
Srta. Trueno Negro,El Sonido De La Felicidad,Si Supiese Escribir,spotify:track:1IjrqLi5xEzMfR2CvSBd4q,Indie / Unmapped,Alternative / Various
Rihanna,ANTI,Needed Me,spotify:track:3kfxarilcBr81mb2hmZLeh,Pop / R&B,"Dancehall, Trap R&B, Hip-Hop"
Jonny Greenwood,Phantom Thread (Original Motion Picture Soundtrack),House of Woodcock,spotify:track:6FZDedaCzYhO4sdG3VYcHZ,Indie / Unmapped,Alternative / Various
Arctic Monkeys,Body Paint,Body Paint,spotify:track:11jRCxY01k9jvCdUru0EeP,Indie Rock,"Alternative Rock, Garage Rock"
Luis Alberto Spinetta,Spinettalandia y Sus Amigos,Vamos al Bosque,spotify:track:58blUSyCVpVOpTwDBO5CfY,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Marilina Bertoldi,Prender un Fuego,O No?,spotify:track:4siOut8Vpa3pjeqZEyoMKN,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Charly García,Pubis Angelical / Yendo De La Cama Al Living,Vos También Estabas Verde,spotify:track:6OUIAFip7rThyhhxLbx72v,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Virus,Locura,Sin Disfraz,spotify:track:6oi4gIt6BQCRw1ZQJj21vq,Synth-Pop,"New Wave, Pop Rock"
Bad Bunny,DeBÍ TiRAR MáS FOToS,VOY A LLeVARTE PA PR,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo"
Serú Girán,Serú Girán,"Autos, Jets, Aviones, Barcos - 2021 Remasterizado",spotify:track:2jfCd4gAA8tW8IMARzxnID,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Bobby Womack,The Poet,Where Do We Go From Here,spotify:track:5hBmaRvLEYppR5WjX71jmn,Indie / Unmapped,Alternative / Various
Patricio Rey y sus Redonditos de Ricota,Gulp!,Te Voy a Atornillar,spotify:track:1Rwp9E8RSIEZHQNk4bn0Ph,Rock Argentino,"Post-Punk, Hard Rock"
Sofía Viola,Júbilo,Respirar el Alba,spotify:track:0m5vHkfgVbe5rfcb7jcEHr,Indie / Unmapped,Alternative / Various
Luis Alberto Spinetta,Peluson Of Milk,Cada Luz,spotify:track:5xgN1wexsVCh9G5fgijumb,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Vampire Weekend,Vampire Weekend,A-Punk,spotify:track:2DrGEaqoruCSn0FffWCf5O,Indie Rock,"Afro-Pop Fusion, Art Pop"
Los Besos,En la arena,En la arena,spotify:track:3bjgeWGIREJFpCkSqr206N,Indie Pop,"Canción de Autor, Art Pop"
Mi Amigo Invencible,LA ARAÑA,LA ARAÑA,spotify:track:1HU9uePnzE4RdomNtxICSC,Indie / Unmapped,Alternative / Various
Las Ligas Menores,Las Ligas Menores,Accidente,spotify:track:55xFPGknQ0zQluwBmf2nVm,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk"
Talking Heads,Speaking in Tongues,This Must Be the Place (Naive Melody) - 2005 Remaster,spotify:track:6aBUnkXuCEQQHAlTokv9or,Indie / Unmapped,Alternative / Various
Charly García,Parte De La Religion,Parte de la Religión,spotify:track:10j7m614MuWqj6qgWKeaw7,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Los Besos,Copia Viva,Destino,spotify:track:1ePi0a5gsQi5qU1zSCkilV,Indie Pop,"Canción de Autor, Art Pop"
Ainda,El Equilibrio,El equilibrio,spotify:track:3pdcsjem6SaMqgDH882AjJ,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana"
Winona Riders,El Sonido Del Éxtasis,¿Así Que Te Gusta Hacerte El Lou Reed?,spotify:track:3tv2PAwZArvekOqHojdsFo,Krautrock / Garage Rock,"Post-Punk, Psychedelic Rock"
Mora y los Metegoles,Mora y los Metegoles,Adscriptos,spotify:track:2bg9hZEbEBxurua5lURYA0,Indie Rock,"Garage Rock, Post-Punk"
Srta. Trueno Negro,El Sonido De La Felicidad,Fusilada,spotify:track:3eILhywfRR6TtZnRSAxoFL,Indie / Unmapped,Alternative / Various
Manu Chao,Clandestino,Lágrimas de oro,spotify:track:5VEbIsn42Z8D3bz3RsjQcV,Indie / Unmapped,Alternative / Various
Babasonicos,Infame,Estertor,spotify:track:2d4OxzOWcVWtACFsILP7Zj,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
La Chicana,Tango Agazapado,Sopapa,spotify:track:2n09s7QSnWqGqfeHDqf4rD,Tango Canción,"Tango Fusion, Rock de Cámara"
Viejas Locas,Viejas Locas,Eva,spotify:track:2YEsKGpBW3eFwVAX9C3AJW,Rock Stone,"Blues Rock, Rock and Roll"
Charly García,La Hija de la Lágrima,Locomotion,spotify:track:5XWuEFoEsiup7VCZDPECi0,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
my bloody valentine,loveless,when you sleep,spotify:track:2KylN9C0wNbzLgZNTG9oiU,Indie / Unmapped,Alternative / Various
Patricio Rey y sus Redonditos de Ricota,Momo Sampler,Una Piba Con la Remera de Greenpeace,spotify:track:6xxyN0K6opVJWMdQykqXQ7,Rock Argentino,"Post-Punk, Hard Rock"
Fito Paez,Giros,Cable A Tierra,spotify:track:2Til97fBo9aqwyC1Q8VG1g,Rock Argentino,"Pop Rock, Piano Rock"
Mac DeMarco,Salad Days,Chamber Of Reflection,spotify:track:7H7NyZ3G075GqPx2evsfeb,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
Milton Nascimento,Geraes,Volver A Los 17,spotify:track:5iM1d3XfIwIYJMjUJhrce3,Indie / Unmapped,Alternative / Various
Alanis Morissette,Jagged Little Pill,Hand in My Pocket - 2015 Remaster,spotify:track:2lE7oRoKssULAtbWViL385,Indie / Unmapped,Alternative / Various
La Vela Puerca,La Vela Puerca,Mi Semilla,spotify:track:4SkGchp4kZKGsHGFN8NGb7,Rock Uruguayo,"Ska Rock, Punk Rock"
Luis Alberto Spinetta,Don Lucero,Fina Ropa Blanca,spotify:track:46uMIpDYQBG6iSHDl5y2ft,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Lucio Mantel,Confín,Raíz Salvaje,spotify:track:50MRWDhu2ImsY51iRHYVkx,Indie / Unmapped,Alternative / Various
Bob Marley & The Wailers,Exodus,Roots,spotify:track:3gBayDLYifAkoGXGOSN8mD,Reggae,Roots Reggae
Núria Graham,Fire Mountain Oh Sacred Ancient Fountain,Fire Mountain Oh Sacred Ancient Fountain,spotify:track:54yQd0qnebiG095H3UUUkD,Indie / Unmapped,Alternative / Various
"Tyler, The Creator",Flower Boy,See You Again (feat. Kali Uchis),spotify:track:7KA4W4McWYRpgf0fWsJZWB,Indie / Unmapped,Alternative / Various
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Neo-Soul,"Bedroom Pop, R&B, Reggaeton Pop"
Olivia Dean,Messy,Dive,spotify:track:36vmaZyO0iAE6FZ7287fg2,Indie / Unmapped,Alternative / Various
Red Hot Chili Peppers,Stadium Arcadium,Wet Sand,spotify:track:3L2Nyi3T7XabH8EEZFLDdX,Alternative Rock,"Funk Rock, Hard Rock"
Massive Attack,Blue Lines,Unfinished Sympathy - 2012 Mix/Master,spotify:track:0j5FJJOmmnXPd0XajFWkMF,Indie / Unmapped,Alternative / Various
Milo j,La Vida Era Más Corta,Ama De Mi Sol,spotify:track:4GKm1QaEr1tqJwUM0EsUl3,Indie / Unmapped,Alternative / Various
Taylor Swift,THE TORTURED POETS DEPARTMENT,Fortnight (feat. Post Malone),spotify:track:2OzhQlSqBEmt7hmkYxfT6m,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop"
El Plan De La Mariposa,Danza de Antalgia,Romance Con el Desapego,spotify:track:7dq9mcfMbxuQR1idoUY3dr,Rock Latino,"Folk Rock, Progressive Rock"
Eduardo Mateo,Discodromo,Príncipe Azul,spotify:track:66Hp8vGjwABAkvDuFp5hod,Candombe Beat,"MPB Uruguay, Psych Folk"
Serú Girán,Seru Giran 92,Transformacion,spotify:track:7KUHwBIcb4DrmjHc1ttOZu,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
Buffy Sainte-Marie,The Pathfinder,Qu'Appele Valley Saskatchewan,spotify:track:5eSZfIUEuLmha2rhdgoFW8,Indie / Unmapped,Alternative / Various
Fito Paez,Del 63,Tres Agujas,spotify:track:6V7xqNPNhipyjUKvXfFHCD,Rock Argentino,"Pop Rock, Piano Rock"
Bersuit Vergarabat,De La Cabeza Con Bersuit Vergarabat,Danza De Los Muertos Pobres - Live In Buenos Aires / 2001,spotify:track:7cOLoxWXFJCpOFpVDu0nQJ,Rock Argentino,"Latin Rock, Ska Rock, Cumbia Rock"
Trueno,Atrevido,Sangría - con WOS,spotify:track:1fJjC8C0BdgUHlKIP2ODQf,Urbano Latino,"Hip-Hop, Funk Carioca, Boom Bap, Trap"
C. Tangana,El Madrileño,Tú Me Dejaste De Querer,spotify:track:5ddFjrPG8NgQQ6xlOQIVd2,Latin Alternative,"Flamenco Pop, Urbano Latino, Rumba"
Babasonicos,Babasónica,Sharon Tate,spotify:track:2Dn34sSzzH3PZOpdVSLL3g,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Audrey,"Night at the Hop, Vol.1",You'll Lose a Good Thing,spotify:track:2XGQJWtDM5wkxgEcmjW1bd,Indie / Unmapped,Alternative / Various
Björk,Venus As A Boy,Violently Happy - Domestic Mix,spotify:track:2BKjVSoF8xHwKgxpj4hAVr,Art Pop,"Experimental Electronic, House"
Ainda,Kilómetros,Kilómetros,spotify:track:6fAToGuBw5lPlWvzdzGyYx,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana"
Juana Aguirre,anónimo,lo_divino,spotify:track:20SlD6QDxPlOd1Ip0NvsdG,Indie / Unmapped,Alternative / Various
Charly García,Pubis Angelical / Yendo De La Cama Al Living,Canción De Dos Por Tres,spotify:track:3UzTIziKGbnILGyjMQcjbj,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Viva Elastico,Viva Elastico,Imágenes de Amor,spotify:track:6D8ABjO35ki2RVm6qVXSAA,Indie Rock,"Post-Punk, New Wave"
Amy Winehouse,Lioness: Hidden Treasures,Our Day Will Come,spotify:track:4NDpn6yfD5aqafYWFEaJDz,Neo-Soul,"Soul, Ska / Reggae, R&B"
Tribalistas,Tribalistas,Aliança,spotify:track:1DLKuppSYytOuxhtI6KBGu,MPB,"Pop Brasileño, Acoustic Fusion"
Karen Marks,Cold Café,Cold Café,spotify:track:7zlH8joHyOckoToKOAXoye,Minimal Wave,"Post-Punk, Synth-Pop"
El Mató a un Policía Motorizado,El Mató a un Policía Motorizado,Terrorismo en la Copa del Mundo,spotify:track:1O4mXdmh7HPMre5M6uU4ph,Indie Rock,"Post-Punk, Space Rock, Noise Pop"
Luis Alberto Spinetta,Silver Sorgo,Llama y Verás,spotify:track:5074hKoBVd4vMZ50r6M5hm,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
Bandalos Chinos,Departamento,Departamento,spotify:track:0L7UzdYmOkLhHoDLEcUa8f,Indie / Unmapped,Alternative / Various
C. Tangana,El Madrileño,Me Maten - Live at NPR's Tiny Desk,spotify:track:5py3FJrHEuR67BjR7wm8uj,Latin Alternative,"Flamenco Pop, Urbano Latino, Rumba"
El Kuelgue,Cuentito,Bondi,spotify:track:2DxwhvccoBibFxHHHJ8jVd,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock"
Serú Girán,La Grasa de las Capitales: Edición 40º Aniversario,San Francisco y el Lobo - 2019 Remasterizado,spotify:track:3aZSTG9Yhu6NeT6QsJf5fO,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
The Smiths,The Queen Is Dead,Bigmouth Strikes Again - 2011 Remaster,spotify:track:2OErSh4oVVAUll0vHxdr6p,Indie Pop,"Jangle Pop, Post-Punk"
Billie Eilish,Happier Than Ever,Happier Than Ever,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Indie / Unmapped,Alternative / Various
The Doors,Morrison Hotel,Maggie M'Gill,spotify:track:6PtRNOkuXALHwogMnc9NCx,Indie / Unmapped,Alternative / Various
Gauchito Club,Tu casa,Tu casa,spotify:track:4sZfAbGlXcNnDCbf7PmTHx,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock"
Indio Solari,En Concierto,To Beef Or Not To Beef - En Vivo,spotify:track:1Nys4RFNBokanSNzMQT4Su,Rock Argentino,"Hard Rock, Art Rock"
Illya Kuryaki & The Valderramas,Chaco (Serie Rock Nacional 2004),Hermoza From Heaven,spotify:track:35wwlDG0j5UGZOZtbTixzc,Funk / Hip-Hop,"Latin Funk, Rap Rock, R&B"
Lucy Patané,Salir de Acá!,Harvest Moon - En Vivo,spotify:track:2MTxuUSeuwYyh5YOhWTrbo,Rock Alternativo,"Experimental Folk, Post-Punk"
Julian Mourin,Manos en el Aire,Manos en el Aire,spotify:track:0uxjdUZgylxWqQEUsywiCU,Indie / Unmapped,Alternative / Various
Rosario Bléfari,Estaciones,Vidrieras,spotify:track:1aCd5rhHprLbFgqMCLgV8J,Indie / Unmapped,Alternative / Various
Juana Molina,DOGA,siestas ahí,spotify:track:5RDnvWoNADi1p9FFKSF9UH,Folktronica,"Experimental Electronic, Art Pop"
Galean,Pasado Mañana,Sube a la Nube,spotify:track:76cbt4dCKD1K27KtghHKgZ,Indie / Unmapped,Alternative / Various
Gustavo Cerati,Amor Amarillo,A Merced,spotify:track:3ZC8BXItb2bvgs8oKgz5qG,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion"
Duratierra,LA FUERZA,La del pueblo,spotify:track:7A9J3WGE5loM53rd7emZNN,Folklore Argentino,"Canción Latinoamericana, Fusion Folk"
José González,El Invento EP,El Invento - Sofia Kourtesis Remix,spotify:track:1lV1ELb1CUSe94zV7h082P,Indie Folk,"Acoustic, Singer-Songwriter"
Mac DeMarco,Salad Days,Salad Days,spotify:track:5VdaMUzoQetwxQwtWAd022,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop"
Moby,Play,South Side - Mono Version,spotify:track:1sVv67vCTTKGBM5ZHYAcli,Indie / Unmapped,Alternative / Various
Usted Señalemelo,Tripolar,Horizonte,spotify:track:0duxIpbGJGmjbPvcqGgS51,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Marilina Bertoldi,La presencia de las personas que se van,En mi,spotify:track:7nNsHCYtE1GPzXKmqqW84q,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Serú Girán,Peperina,Salir De La Melancolía,spotify:track:4T9Elo8e4WcZzWm6PF3WgW,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
David Bowie,Hunky Dory,Oh! You Pretty Things - 2015 Remaster,spotify:track:7Js4OF5MUb2bqJe09g4uQE,Indie / Unmapped,Alternative / Various
Babasonicos,Tajada,Tajada,spotify:track:0HGchjSKUuMNsLg8zfwqFf,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Cuentos Borgeanos,Felicidades,Eternidad,spotify:track:55GE6tLvPcOWmMUdQIPt1c,Indie / Unmapped,Alternative / Various
Lara Pedrosa,El bosque del recuerdo,Melodia de extrañar,spotify:track:2LLqpGXCDOaCFq6kGxqdD7,Indie Pop,"Synth-Pop, Bedroom Pop"
Fred again..,Actual Life (April 14 - December 17 2020),Marea (we’ve lost dancing),spotify:track:5Z8Dj3LtbyCMiwE86rhg2f,Indie / Unmapped,Alternative / Various
Usted Señalemelo,"Nena, dime algo.","Nena, dime algo.",spotify:track:3arnuYBuNFads3xhmztypA,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Patricio Rey y sus Redonditos de Ricota,Lobo Suelto,Rock para el Negro Atila,spotify:track:1Ro5Fnzl71YlTXaFx8bVjs,Rock Argentino,"Post-Punk, Hard Rock"
Otis Redding,The Dock of the Bay,(Sittin' On) the Dock of the Bay - Mono,spotify:track:3zBhihYUHBmGd2bcQIobrF,Indie / Unmapped,Alternative / Various
Santiago Motorizado,Google Maps,Google Maps,spotify:track:62zG4aWP6lFDrlXMhayWyR,Indie Rock,"Canción de Autor, Bedroom Pop"
Usted Señalemelo,Las Flores Sangran,Las Flores Sangran,spotify:track:2sg8oaHUISzxswco8S5yZU,Indie Rock,"Art Rock, Synth-Pop, Dance Rock"
Virus,Superficies de Placer,Superficies de Placer,spotify:track:36YmakOxI0KQmbB063IKYz,Synth-Pop,"New Wave, Pop Rock"
Fleetwood Mac,Fleetwood Mac,Landslide,spotify:track:5ihS6UUlyQAfmp48eSkxuQ,Indie / Unmapped,Alternative / Various
Las Pelotas,Corderos en la Noche,Brilla (Shine),spotify:track:4xqttklZFV1w1RKjbVh4na,Rock Argentino,"Reggae Rock, Post-Punk"
Tame Impala,Deadbeat,End Of Summer,spotify:track:3McBKxKZLXbE4czUezk5QG,Indie / Unmapped,Alternative / Various
FLORIAN,TKM,TKM,spotify:track:6OU9VH0luFi6oSZ5arLiOy,Indie / Unmapped,Alternative / Various
