artistName,genero_principal,generos_secundarios,canciones_guardadas,reproducciones_totales,msPlayed_totales,minutosPlayed_totales
El Cuarteto De Nos,Rock Uruguayo,Alternative Rock / Pop Rock,1,5.0,287575.0,4.792916666666667
Esmeralda Escalante,Indie Folk,Canción de Autor,1,5.0,278599.0,4.643316666666667
Ezequiel Borra,Canción de Autor,Experimental Folk,1,5.0,28169.0,0.46948333333333336
Franco Bianco,Electronic,"Tech House, Techno",1,5.0,836837.0,13.947283333333333
Galean,Indie Pop,Psychedelic Pop / R&B,1,5.0,905255.0,15.087583333333335
Janis Joplin,Blues Rock,Psychedelic Rock / Soul,1,5.0,256410.0,4.2735
Jeff Buckley,Alternative Rock,"Singer-Songwriter, Folk Rock",1,5.0,247255.0,4.120916666666667
Juan Mango,Indie Pop,Dream Pop / Experimental,1,5.0,207783.0,3.46305
Lesbiandrama,Indie Pop,Bedroom Pop / Lo-Fi,1,5.0,50778.0,0.8463
León Gieco,Rock Argentino,Folk Rock / Folklore Fusion,1,5.0,264568.0,4.409466666666667
Lo' Pibitos,Funk / Hip-Hop,Latin Funk / Rap,1,5.0,859053.0,14.31755
Luca Bocci,Indie Pop,"Psicodelia, Bedroom Pop",1,5.0,941329.0,15.688816666666666
M83,Synth-Pop,"Shoegaze, Ambient Electronic, Post-Rock",1,5.0,40642.0,0.6773666666666667
Morphine,Low Rock,"Alternative Rock, Jazz Rock, Blues Rock",1,5.0,584943.0,9.74905
Soda Stereo,Rock Argentino,"Alternative Rock, Post-Punk, Shoegaze",1,5.0,13899.0,0.23165000000000002
Soundgarden,Grunge,"Heavy Metal, Alternative Rock",1,5.0,1280354.0,21.339233333333333
The White Stripes,Garage Rock,"Acoustic Blues, Indie Rock",1,5.0,347367.0,5.78945
Vampire Weekend,Indie Rock,"Afro-Pop Fusion, Art Pop",1,5.0,168428.0,2.8071333333333333
Zenon Pereyra,Indie Pop,Pop Rock / Canción de Autor,1,5.0,222635.0,3.710583333333333
Amor Elefante,Indie Pop,Pop Rock / Dream Pop,1,4.0,261152.0,4.352533333333334
Aterciopelados,Rock en Español,Latin Alternative / Folk Fusion,1,4.0,8618.0,0.14363333333333334
Chechi de Marcos,Indie Folk,Canción de Autor,1,4.0,208959.0,3.48265
Don Cornelio Y La Zona,Rock Argentino,"Post-Punk, New Wave, Darkwave",1,4.0,23734.0,0.3955666666666666
Kiddie Gang,Urbano Latino,"Alternative R&B, Trap Pop",1,4.0,228316.0,3.8052666666666664
Moris,Rock Argentino,Rock and Roll / Blues,1,4.0,436099.0,7.268316666666665
Mumford & Sons,Indie Folk,Folk Rock / Alt-Country,1,4.0,462876.0,7.7146
Sofía Viola,Canción de Autor,Folk Latinoamericano / Tropical,1,4.0,794468.0,13.241133333333332
Tajy,Chamamé,Folklore Argentino / Instrumental,1,4.0,9813.0,0.16355
The Black Keys,Blues Rock,Garage Rock Revival,1,4.0,467160.0,7.786
Bestia Bebé,Indie Rock,"Punk Rock, Krautrock Argentino",1,3.0,723891.0,12.06485
Chico Buarque,MPB (Música Popular Brasileña),"Bossa Nova, Samba",1,3.0,6479.0,0.10798333333333332
Cuentos Borgeanos,Rock Argentino,Alternative Rock / Post-Punk,1,3.0,440576.0,7.342933333333334
Matilda,Synth-Pop,Techno Pop / Electro Pop,1,3.0,523683.0,8.72805
Nación Ekeko,Folktronica,Downtempo / Andean Beats,1,3.0,15730.0,0.26216666666666666
Núria Graham,Indie Pop,Folk Pop / Singer-Songwriter,1,3.0,8156.0,0.13593333333333332
Regina Spektor,Anti-Folk,Indie Pop / Singer-Songwriter,1,3.0,232905.0,3.88175
Ya Cualquier Cosa,Indie Rock,Post-Punk,1,3.0,406719.0,6.77865
AURORA,Art Pop,Electropop / Synth-Pop,1,2.0,15515.0,0.25858333333333333
Kevin Kaarl,Indie Folk,"Acoustic, Folk Latinoamericano",1,2.0,192386.0,3.2064333333333335
Las Ex,Post-Punk,Garage Punk / Riot Grrrl,1,2.0,180480.0,3.008
Leo Maslíah,Candombe / Trova,"Canción de Autor, Vanguardia Uruguaya",1,2.0,70969.0,1.1828166666666666
Lost Frequencies,Deep House,"Tropical House, Dance-Pop",1,2.0,4812.0,0.0802
MissLupe,Indie Pop,Pop Urbano,1,2.0,63466.0,1.0577666666666667
No Doubt,Ska Punk,Alternative Rock / Pop Rock,1,2.0,575787.0,9.59645
Bob Marley,Reggae,Roots Reggae,1,1.0,6137.0,0.10228333333333334
Marisa Monte,MPB,Samba / Pop Brasileño,1,1.0,164627.0,2.7437833333333335
The Breeders,Alternative Rock,Indie Rock / Noise Pop,1,1.0,1083.0,0.01805
El Principe,Indie / Unmapped,Alternative / Various,1,0.0,0.0,0.0
Poncho,Indie / Unmapped,Alternative / Various,1,0.0,0.0,0.0
Sig Ragga,Indie / Unmapped,Alternative / Various,1,0.0,0.0,0.0
Yerai Cortés,Indie / Unmapped,Alternative / Various,1,0.0,0.0,0.0
